<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.03.08	1684.93	1703.86	1682.70	1699.80	49632	0	0
2012.03.09	1701.74	1714.85	1676.60	1713.69	53569	0	0
2012.03.12	1713.40	1713.55	1691.93	1700.97	48985	0	0
2012.03.13	1699.85	1705.62	1661.90	1673.67	57032	0	0
2012.03.14	1676.08	1682.24	1634.44	1644.17	60523	0	0
2012.03.15	1643.65	1666.48	1636.02	1658.21	54224	0	0
2012.03.16	1657.96	1664.66	1639.57	1659.31	50651	0	0
2012.03.19	1660.42	1669.72	1652.30	1663.86	44920	0	0
2012.03.20	1663.15	1664.26	1641.50	1650.51	47570	0	0
2012.03.21	1649.97	1661.80	1646.54	1650.05	53492	0	0
2012.03.22	1651.17	1656.26	1628.08	1645.54	67241	0	0
2012.03.23	1646.68	1666.46	1642.06	1661.26	61072	0	0
2012.03.26	1664.21	1693.50	1655.47	1690.66	62521	0	0
2012.03.27	1690.17	1696.95	1679.47	1680.27	54161	0	0
2012.03.28	1680.25	1684.19	1654.62	1663.18	90547	52977550	0
2012.03.29	1662.42	1664.84	1645.19	1661.28	121511	55026800	0
2012.03.30	1661.44	1670.92	1659.90	1666.95	133179	40215368	25
2012.04.02	1671.34	1683.46	1662.81	1677.61	144753	43649214	25
2012.04.03	1676.46	1680.94	1639.00	1645.11	156737	48265490	25
2012.04.04	1645.64	1647.92	1612.39	1620.56	184611	55788542	25
2012.04.05	1620.50	1631.27	1619.88	1630.65	95258	28720351	25
2012.04.09	1644.61	1648.44	1635.40	1640.23	130647	39380342	35
2012.04.10	1640.91	1662.73	1631.80	1659.03	165306	50185170	35
2012.04.11	1659.30	1662.63	1652.92	1658.22	143643	42572515	35
2012.04.12	1658.67	1679.85	1650.83	1675.47	125416	41475389	34
2012.04.13	1675.08	1677.83	1649.19	1655.57	80028	55991946	39
2012.04.16	1653.14	1657.69	1641.31	1651.41	128918	39264470	25
2012.04.17	1652.53	1657.39	1634.62	1649.26	110932	34000110	25
2012.04.18	1649.57	1654.34	1637.81	1641.52	131064	39595130	25
2012.04.19	1642.36	1653.66	1631.09	1642.56	153586	46511704	35
2012.04.20	1642.28	1647.11	1638.55	1642.56	122406	38385310	35
2012.04.23	1639.87	1643.19	1623.21	1637.77	129102	38984330	35
2012.04.24	1637.18	1649.17	1633.94	1641.72	108684	32847190	34
2012.04.25	1641.40	1646.21	1624.41	1644.18	153265	46260260	35
2012.04.26	1644.20	1660.57	1642.18	1656.74	130509	39321850	34
2012.04.27	1655.35	1667.44	1650.54	1662.37	130160	39408100	31
2012.04.30	1664.05	1665.96	1647.29	1664.42	107133	32337500	29
2012.05.01	1664.55	1671.45	1657.59	1661.56	91896	27781100	32
2012.05.02	1662.77	1663.00	1646.91	1653.00	138048	41683200	32
2012.05.03	1652.86	1653.39	1631.06	1636.24	133544	40340200	34
2012.05.04	1635.83	1647.11	1626.43	1641.17	127511	38566800	34
2012.05.07	1639.73	1642.60	1632.13	1638.37	111256	33477100	35
2012.05.08	1638.09	1638.92	1595.42	1604.99	148959	45010584	34
2012.05.09	1605.35	1606.52	1579.67	1589.78	165716	50051225	32
2012.05.10	1590.02	1601.86	1585.64	1593.63	137373	41408290	35
2012.05.11	1593.46	1594.88	1574.42	1579.11	140440	42443390	35
2012.05.14	1582.16	1585.62	1556.10	1556.26	148002	44634900	34
2012.05.15	1556.90	1564.12	1541.39	1543.75	149458	45026370	35
2012.05.16	1544.33	1552.22	1526.96	1538.13	172312	53384800	35
2012.05.17	1539.31	1579.81	1538.29	1573.60	150189	47371690	35
2012.05.18	1574.09	1597.59	1567.94	1592.18	160080	50411798	35
2012.05.21	1592.76	1599.13	1584.79	1593.42	126073	39602488	35
2012.05.22	1593.14	1594.37	1561.30	1568.14	135978	42688640	35
2012.05.23	1567.00	1568.65	1533.14	1561.07	168631	52706323	32
2012.05.24	1561.84	1577.73	1551.38	1558.73	152857	47834080	35
2012.05.25	1557.86	1574.07	1551.24	1572.56	131247	41192298	35
2012.05.28	1575.45	1583.94	1571.44	1573.74	78616	24493581	35
2012.05.29	1573.64	1582.66	1549.16	1554.86	141054	43833994	35
2012.05.30	1555.05	1569.28	1533.21	1562.61	151124	47361389	35
2012.05.31	1562.83	1572.99	1552.17	1560.90	155376	48716190	35
2012.06.01	1559.49	1629.53	1544.92	1623.04	172942	54765128	35
2012.06.04	1623.78	1628.11	1608.62	1618.89	173636	54066297	35
2012.06.05	1618.71	1623.55	1611.45	1617.26	152323	47546100	35
2012.06.06	1617.51	1640.63	1615.31	1618.74	168418	52352937	35
2012.06.07	1621.64	1629.13	1578.64	1589.47	173909	54257614	35
2012.06.08	1589.66	1594.87	1560.99	1592.32	176272	55178925	34
2012.06.11	1600.94	1608.10	1581.74	1597.29	114303	35804900	35
2012.06.12	1594.09	1617.53	1586.16	1609.30	119688	36608398	35
2012.06.13	1609.61	1624.76	1605.97	1616.77	104974	31930550	32
2012.06.14	1617.94	1627.89	1609.26	1622.67	109007	33170555	35
2012.06.15	1623.49	1633.63	1619.23	1623.99	99103	30404748	35
2012.06.18	1623.08	1629.92	1602.62	1627.65	121507	37136260	35
2012.06.19	1626.93	1633.18	1617.39	1618.10	109008	33048790	35
2012.06.20	1618.59	1622.41	1589.86	1605.88	132427	40160333	35
2012.06.21	1606.63	1606.99	1564.32	1566.50	136805	41517761	34
2012.06.22	1565.65	1573.20	1558.10	1571.29	104895	31891378	35
2012.06.25	1572.36	1588.22	1566.29	1584.69	105081	31804930	35
2012.06.26	1585.72	1586.69	1567.74	1571.87	100995	30589478	29
